aah	[INTERJECTION] surprise, pleasure
plague	trouble
plague	something causing wide destruction
plague	disease
plagued	gave trouble to
plagues	gives trouble to
plaguing	giving trouble to
plaid	long wool cloth by Scot Highlands
plaid	Scotch cloth
plaids	Scotch cloths
plain	great stretch of level land
plain	not beautiful
plain	simple, clear, straight
plainly	straightly
plainly	clearly
plainly	simply
plains	level, low grass lands
plaint	statement before judge of wrong done to one
plaintiff	person going to law against someone
plaintiffs	persons going to law against someone
plait	pigtail
plait	band of threads twisted in and out
plaited	made into a pigtail
plaited	made into twisted band
plaiting	making into a pigtail
plaiting	making into twisted band
plaits	pigtails
plaits	twisted bands
plan	design
plan	map
plan	system
plan	idea
plane	plane
plane's	plane's
planed	planed
planes	planes
planet	moving body moving round sun
planetary	moving round sun
planetoid	earth-like thing
planets	moving stars round sun
planing	planing
plank	put down
plank	points in program
plank	long flat bit of wood
plank	thick boards
planks	covers with thick wood
planks	boards
planned	made system design 
planner	made system designer 
planning	designing
planning	mapping
planning	making system design 
planning	getting ideas
plans	designs
plans	maps
plans	systems
plans	makes system designs
plans	ideas
plant	plant
plant's	plant's
plantation	farm
plantation	planted land
plantations	farms
plantations	planted lands
planted	planted
planter	planter
planters	planters
planting	planting
plantings	plantings
plants	plants
plants	puts
plaster	[second]
plaster	paste used to make hard wall coating
plaster	hard wall coating
plaster	put on thickly
plastered	[second]
plastered	put on paste to make hard wall coating
plastered	with hard wall coating
plastered	put on thickly
plasterer	[second]
plasterer	one putting on paste to make hard wall coating
plastering	[second]
plastering	putting on paste to make hard wall coating
plastering	hard wall coating
plastering	putting on thickly
plasters	[second]
plasters	pastes used to make hard wall coating
plasters	hard wall coatings
plasters	puts on thickly
plastic	man-made material
plastic	man-made
plastic	wax-like
plastic	soft, readily bent
plastics	sorts of unnatural materials
plastics	man-made materials
plate	plate
plated	plated
plates	plates
platform	position points
platform	flat structure
platform	operating system
platforms	flat structures
platforms	operating systems
plating	plating
platinum	platinum
platinums	platinum's
platinums	platinums
platitude	common saying
platitudes	common statements
platter	platter
platters	platters
plaudits	strong approval
plausible	seeming true
plausible	possible
plausible	probable
plausibly	seemingly true
plausibly	possibly
plausibly	probably
play	play
playact	playact
playacting	playacting
playback	play again
played	played
player	player
players	players
playful	tendency to play
playful	playful
playfully	playfully
playgoer	playgoer
playground	open air playing place
playground	playing field
playgrounds	open air playing places
playgrounds	playing fields
playhouse	theater
playhouse	boys' and girls' house for play
playing	playing
playroom	playroom
plays	plays
playtime	playtime
plaything	plaything
playthings	playthings
playwriting	playwriting
plea	request
plead	make a (strong) special request
pleas	requests
pleasant	pleasing, giving pleasure
pleasantly	pleasingly
please	please
pleased	pleased
pleaser	pleaser
pleases	pleases
pleasing	pleasing
pleasingly	pleasingly
pleasurable	pleasurable
pleasurably	pleasurably
pleasure	pleasure
pleasured	pleasured
pleasurers	pleasurers
pleasures	pleasures
pleasureful	pleasureful
pleasuring	pleasuring
pleat	fold material first one way then the other
pleat	fold of material
pleated	folded
pleating	folding
pleats	makes folds in material
pleats	folds 
pledge	thing given for debt
pledge	sign of approval
pledge	one's word
pledged	gave thing for debt
pledged	gave sign of approval
pledged	gave one's word
pledges	gives thing for debt
pledges	gives sign of approval
pledges	gives one's word
pledging	giving thing for debt
pledging	giving sign of approval
pledging	giving one's word
plentiful	more than enough
plenty	a great amount
plenty	enough
plethora	a great amount
plethora	over-much
plethora	more than enough
pliable	not hard to twist
pliable	readily guided
pliable	open to suggestion
pliable	readily bent
pliant	not hard to twist
pliant	readily guided
pliant	open to suggestion
pliant	readily bent
pliantly	not hard to twist
pliantly	readily guided
pliantly	open to suggestion
pliantly	readily bent
plied	went back and forward
plied	did
plied	was using
pliers	gripping instrument
pliers	wire cutters
plies	levels
plies	goes back and forward
plies	does
plies	is using
plight	condition of danger
plight	sad condition
plod	work without stopping.
plod	work slowly
plod	go solidly on
plodded	work without stopping.
plodded	went slowly
plodded	went solidly on
plodding	work without stopping.
plodding	doing work slowly
plodding	going solidly on
plods	work without stopping.
plods	does work slowly
plods	goes solidly on
plot	(make) line picture
plot	secret design
plot	outline of events
plot	small bit of land
plots	(makes) line pictures
plots	secret designs
plots	outlines of events
plots	small bits of land
plotted	made line picture
plotted	made secret design
plotted	made outline of events
plotter	instrument for making line pictures
plotter	person making secret design
plotting	making line pictures
plotting	making secret designs
plotting	making outline of events
plough	plow
ploughed	plowed
ploughers	plowers
ploughing	plowing
ploughings	plowings
ploughs	plows
plow	plow
plow's	plow's
plowable	plowable
plowed	plowed
plower	plowman
plower	plower
plowers	plowmen
plowers	plowers
plowing	plowing
plowings	plowings
plowman	plowman
plows	plows
ploy	trick
pluck	no fear
pluck	take feathers out
plucked	took feathers out
plucking	taking feathers out
plucks	takes feathers out
plucky	having no fear
plug	stop
plug	stopper
plugged	stopped
plugger	one who goes on
plugger	stopper
plugging	stopping
plugs	stops
plum	position with high payment
plum	good thing
plum	a sort of fruit
plumage	feathers
plumages	feathers
plumb	get the secret of
plumb	get the measure of
plumb	work on pipes
plumb	straight
plumb	get to the root of
plumb	level
plumber	workman with building pipes
plumbers	workmen with building pipes
plumbing	doing work on pipes
plumbing	pipes of a building
plump	round
plump	pleasingly fat
plumped	made round
plumping	making round
plumps	makes round
plunder	take violently
plundered	took violently
plundering	taking goods by force
plunders	takes goods violently
plunge	take great chance with one's money
plunge	sudden violent move 
plunged	took great chance with one's money
plunged	made sudden violent move 
plunger	taker of great chance
plunger	instrument for clearing pipes
plunger pipeman's tool
plunges	takes great chance with one's money
plunges	makes sudden violent move
plunging	taking great chance with one's money
plunging	making sudden violent move 
plural	more than one
plus	addition sign
plus	in addition
ply	put forward
ply	go back and forward
ply	give food, drink
ply	do
ply	one level
ply	be using
plying	giving food, drink
plying	doing
plying	be using
plywood	board made by a number of flats
pneumatic	acting by wind
pneumatic	of air
pneumatically	make to act by air
poach	take animals from another's land
poached	took animals from another's land
poacher	one taking animals from another's land
poaches	takes animals from another's land
poaching	taking animals from another's land
pock	disease mark
pocket	pocket
pocketbook	pocketbook
pocket's	pocket's
pocketed	pocketed
pocketer	pocketer
pocketing	pocketing
pockets	pockets
pocks	disease marks
pod	long seed vessel
podcast	sound/viewing record for downloading
podgy	short and fat
pods	long seed vessels
poem	verse
poems	verses
poet	writer of verse
poetic	words of deep feeling, great thought
poetry	[second]
poetry	words of deep feeling, great thought
poetry	verse
poets	writers of verse
point	point
point's	point's
point's point's
pointed	pointed
pointedly	pointedly
pointer	pointer
pointers	pointers
pointing	pointing
pointing's	pointing's
pointings	pointings
pointless	without a point
points	points
poise	quiet behavior of one never at a loss
poise	be waiting unmoving
poise	keep position
poised	balanced
poised	quiet behavior of one never at a loss
poised	was waiting unmoving
poised	kept position
poising	keeping position unmoved
poison	poison
poisoned	poisoned
poisoner	poisoner
poisoners	poisoners
poisoning	poisoning
poisonings	poisonings
poisons	poisons
poke	push with finger
poke	make holes through
poke	give a push (with something pointed)
poked	pushed with finger
poked	gave a push (with something pointed)
poker	metal rod for the fire
poker	form of card-play
pokes	pushes with finger
pokes	gives a push (with something pointed)
poking	pushing with finger
poking	giving a push (with something pointed)
poky	town prison
poky	small, narrow
polar	near north or south point of earth
polarity	have opposites
polarity	tendency to point to north or south
polarity	having electric property
polarization	having electric property
polarize	make opposite
polarize	give opposites to
polarized	gave opposites
polarizes	gives opposites
polarizing	giving opposites
pole	end of electric CELL
pole	end of a MAGNET
pole	north (south) point on earth
pole	long stick
poled	went forward by push with long stick
poleing going forward by push with long stick
poles	ends of electric CELL
poles	ends of a MAGNET
poles	north (south) points on earth
poles	long sticks
police	police
police's	police's
policed	policed
policeman	policeman
policemen	policemen
polices	polices
policewoman	policewoman
policewomen	policewomen
policies	insurance agreements
policies	general lines
policing	policing
policy	insurance agreement
policy	design
policy	general line
poling	going forward by push with long stick
polish	polish
polished	polished
polisher	polisher
polishers	polishers
polishes	polishes
polishing	polishing
polishings	polishings
polite	kind
polite	with good behavior
politely	kindly
politely	with good behavior
politeness	good behavior
political	political
politically	politically
politicals	politicals
politician	political man
politicians	political men
politico	political man
politicos	political men
politics	political work
poll	cut off
poll	take opinion
polled	cut off
polled	took opinion
pollen	yellow flower powder
pollen	dust-like male seeds
polling	taking requests
polling	taking opinion
polls	cuts off
polls	record of opinions
pollute	make dirty
polluter	one who makes earth  dirty
pollution	unclean
poly-	more than one
polygamy	being married to more than one person
polynomial	more than one math part
pompous	self-important
pompously	self-importantly
pond	hollow full of water
pond	small stretch of water
ponder	go over in one's mind
ponder	give thought to
ponderable	having weight to be measured
pondered	went over in one's mind
pondered	gave thought to
pondering	going over in one's mind
pondering	giving thought to
ponderous	uninteresting
ponderous	not readily moved
ponderous	slow moving
ponderous	of great weight
ponders	goes over in one's mind
ponders	gives thought to
ponds	hollows full of water
ponds	small stretches of water
pony	small horse
pooch	friendly dog
poof	gone suddenly
pooka	storied Irish RABBIT
pool	[second, verse]
pool	common store
pool	BILLIARDS
pool	water on road, floor, etc.
pool	business ring
pool	deep, quiet stretch of river
pool	card-player's money
pool	small stretch of water
pooled	[second, verse]
pooled	water on road, floor, etc.
pooled	made common
pooled	water run together
pooling	[second, verse]
pooling	water on road, floor, etc.
pooling	making common
pooling	water running together
pools	[second, verse]
pools	common stores
pools	water on road, floor, etc.
pools	deep, quiet stretches of river
pools	business rings
pools	small stretches of water
poor	poor
poorer	poorer
poorest	poorest
poorhouse	poorhouse
poorly	poorly
pop	put up quickly
pop	burst
pop	sound of cork being pulled from bottle
pop	quick sharp sound
pope	one with great authority
pope	head of church
pope	Bishop of Rome
pope	Pope
popes	Bishops of Rome
popped	went up quickly
popped	made sound of cork being pulled from bottle
popped	made quick sharp sound
popped	burst
popping	coming up quickly
popping	making sound of cork being pulled from bottle
popping	making quick sharp sound
popping	bursting
pops	puts up quickly
pops	makes sound of cork being pulled from bottle
pops	makes quick sharp sound
pops	bursts
populace	the public
popular	getting on well
popular	dear to the public
popular	having general approval
popular	pleasing to all
popularity	condition of having general approval
popularize	make have general approval
popularized	made have general approval
popularizes	makes have general approval
popularizing	making have general approval
populate	make full with persons
populated	full with persons
populates	makes full with persons
populating	making full with persons
population	(number of) persons living in a place
populations	(numbers of) persons living in a place
populous	thick with persons
porch	roofed doorway
pore	have mind fixed on
pore	breathing-hole in skin
porcelain	white, hard pot material
pores	has mind fixed on
pores	breathing-holes in skin
pork	pig's meat
porker	young, fat pig
porky	fat
porky	over weight
porky	like a pig
porno	dirty (writing, pictures)
pornographic	dirty (writing, pictures)
pornography	dirty-minded about sex
porous	give all one's attention to
porous	letting liquid through
porously	as letting liquid through
port	opening in ship
port	left side of ship
port	point of connection
port	strong, sweet, red wine
port	transport
port	town with harbor
port-hole	ship's window
port-holes	ship's windows
portability	able to be taken about
portable	able to be taken about
ported	with holes
ported	taken
portent	sign of the future
portent	sign
porter	porter
portering	portering
porters	porters
portfolio	mix of businesses
portfolio	position as head
portfolio	folder for keeping loose papers
portfolios	mixes of businesses
portfolios	positions as head
portfolios	folders for keeping loose papers
porthole	hole for pointing a gun
porthole	ship's window
portholes	holes for pointing guns
portholes	ship's windows
portico	ornamented doorway
portico	covered doorway
porticos	ornamented doorways
porticos	covered doorways
porting	with holes
porting	taking
portion	make division
portion	part given
portion	certain amount
portions	divisions
portions	parts
portions	amounts
portly	fat
portmanteau	leather bag
portrait	word picture
portrait	picture of a person
portrait	picture
portraits	word pictures
portraits	pictures of persons
portraits	pictures
portray	give a picture in words
portray	make a picture of
portrayed	gave a picture in words
portrayed	made picture of
portraying	giving view of
portraying	making a picture of 
portrays	gives view of
portrays	gives a picture in words
portrays	makes picture of
ports	transports
ports	openings in ships
ports	harbors
pose	put forward
pose	unnatural position
pose	take up a position
posed	put forward
posed	put unnatural position
posed	took a position
poser	hard question
poser	questioner
poses	puts forward
poses	puts unnatural position
poses	takes a position
posing	putting forward
posing	putting unnatural position
posing	taking a position
position	position
position's	position's
positional	doing with position
positioned	positioned
positioner	positioner
positioners	positioners
positioning	positioning
positionings	positionings
positions	positions
positive	greater than zero
positive	certain
positively	greater than zero
positively	certainly
positives	things greater than zero
positives	things in approval
posse	a group to get wrongdoers
posse	men requested to support the SHERIFF
possess	have control of
possess	be owner of
possess	have
possessed	be off one's head
possessed	had control of
possessed	was owner of
possessed	had
possesses	has control of
possesses	is owner of
possesses	has
possessing	having control of
possessing	being owner of
possessing	having
possession	thing of owner
possession	thing had
possessive	with strong desire to get or keep things as owner
possessor	one having control of
possessor	owner of
possessor	one having
possibilities	thing possible
possibility	not certainly so
possibility	has power to do
possibility	which has power to do
possibility	being possible
possible	possible
possibles	possibles
possibly	possibly
post	post
postbox	postbox
post office	post office
post offices	post offices
post-	after
post-mortem	looking into after death
post-mortem	after death
post's	post's
postage	stamps
postage	payment on letters
postal	of the post
postcard	post card
posted	posted
poster	advertisement
posterior	at the back
posterior	later
posterior	back
posterity	those coming after
posters	posters
postgrad	learning after first degree
postgraduate	learning after first degree
posthumous	taking place after death
posthumous	after death
posting	posting
posting's	posting's
postings	postings
postman	postman
postmark	postmark
postmaster	head of post office
postmaster's	heads of post office
postmen	postmen
postoffice	post office
postoffice	postoffice
postpone	keep to later
postpone	put off till later
postponed	put off till later
postpones	puts off till later
postponing	putting off till later
posts	posts
postscript	addition
postscripts	additions
postulate	thing to be reasoned from
postulate	take as starting fact
postulate	put forward
posture	position (of body)
pot	pot
potash	potash
potashes	potashes
potassium	[chemistry]
potassium	chemical 'K'
potassium	potassium
potato	potato
potatoes	potatoes
potent	strong, able, full of power
potential	stored up, possible, unused
potentially	possibly
potentials	possibles
pots	pots
potted	potted
potter	potter
pottered	pottered
pottering	pottering
potters	potters
pottery	pots
potting	potting
potty	foolish
potty	waste vessel
pouch	bag
pouches	bags
poultice	warm (medical) dressing
poultry	fowls
pounce	make sudden attack
pounce	come down suddenly on
pounce	make a jump at
pounced	made sudden attack
pounced	came down suddenly on
pounced	made a jump at
pounces	makes sudden attack
pounces	comes down suddenly on
pounces	makes a jump at
pouncing	making sudden attack
pouncing	coming down suddenly on
pouncing	making a jump at
pound	shut-in space for animals
pound	get crushed to powder
pound	pound (weight, money)
pound	give blow after blow
poundcake	cake with 1 pound of each part
pounded	get crushed to powder
pounded	gave blow after blow
pounding	got crushed to powder
pounding	giving blow after blow
pounds	weights
pounds	units of weight
pounds	gets crushed to powder
pounds	pounds (weight, money)
pounds	gives blow after blow
pour	come down hard
pour	come out (in a mass)
pour	send down as a current
pour	put
poured	came down hard
poured	came out (in a mass)
poured	sent as a current
poured	put
pouring	coming down hard
pouring	coming out (in a mass)
pouring	sending as a current
pouring	putting
pours	comes down hard
pours	comes out (in a mass)
pours	sends as a current
pours	puts
pout	make a mouth
pout	put out lips
pouted	made a mouth
pouted	put out lips
pouting	making a mouth
pouting	putting out lips
pouts	makes a mouth
pouts	puts out lips
poverty	(condition of) being poor
poverty	having no money
powder	powder
powdered	powdered
powderer	powderer
powdering	powdering
powders	powders
power	power
powered	powered
powerful	powerful
powerful	with power
powerfully	powerfully
powerfully	with power	
powering	powering
powers	powers
pox	disease mark
pox	disease
practicable	possible
practical	good at
practical	with common sense
practical	of use
practicality	thing having use
practically	usefully
practically	almost
practice	[second]
practice	doing, as different to theory
practice	do frequently
practice	doing
practice	normal way of acting
practice	operation
practiced	[second]
practiced	did, as different to theory
practiced	did frequently to become expert
practices	[second]
practices	does, as against theory
practices	frequent doings to become expert
practices	normal ways of acting
practicing	[second]
practicing	doing, as different to theory
practicing	doing frequently to become expert
practise	[second]
practise	doing, as different to theory
practise	do frequently
practise	doing
practise	normal way of acting
practise	operation
practised	[second]
practised	did, as different from theory
practised	did frequently to become expert
practises	[second]
practises	does, as different from theory
practises	frequent doings to become expert
practises	normal ways of acting
practising	[second]
practising	doing, as different from theory
practising	doing frequently to become expert
practitioner	one working
pragmatic	judging values by effects
pragmatism	making an account of values in relation only to effects
prairie	(stretch of open) grassland
prairies	(stretches of open) grasslands
praise	[second, verse]
praise	give words of warm approval
praised	[second, verse]
praised	given warm approval
praised	gave warm approval
praises	[second, verse]
praises	gives warm approval
praiseworthy	rightly given warm approval
praising	[second, verse]
praising	giving warm approval
prance	jump
prance	dance about
pranced	made a jump
pranced	danced about
prances	makes a jump
prances	dances about
prancing	making a jump
prancing	dancing about
prattle	baby talk
prattle	foolish talk
pray	make request
prayed	made request
prayer	[second, verse]
prayer	make request
prayer	request
prayers	[second, verse]
prayers	requests
praying	making request
prays	makes requests
pre-	before the time of
pre-	do before the event
pre-eminent	highest
pre-eminent	chief
pre-eminent	most noted
pre-eminent	the best
pre-eminently	highly
pre-eminently	chiefly
pre-eminently	most notedly
pre-eminently	the best
pre-exist	exist earlier
pre-existence	earlier existence
preach	put forward (views)
preach	give a talk (in church)
preached	put forward (views)
preached	give a talk (in church)
preacher	put forward (views)
preacher	gave a talk (in church)
preaches	puts forward (views)
preaches	gives a talk (in church)
preaching	putting forward (views)
preaching	giving a talk (in church)
precarious	in danger
precarious	unsafe
precariously	in danger
precariously	unsafely
precaution	step taken before the event
precaution	care
precautions	things done to keep off danger
precede	go in front of (before)
preceded	went before
precedence	right to better place
precedence	right to earlier
precedent	example
precedes	goes before
preceding	going in front of
precept	rule of behavior
precious	dear
precious	of value
preciously	dearly
preciously	as of value
precipice	very sharp slope
precipice	straight drop down
precipices	very sharp slopes
precipices	straight drops down
precipitate	be the cause of (sudden event)
precipitated	was the cause of (sudden event)
precipitates	is the cause of (sudden event)
precipitating	was the cause of (sudden event)
precise	right in (taking care with) details
precise	detailed (statement)
precisely	right in detail
precision	taking care
precision	working without error
precocious	forward
precocious	coming to development earlier than is normal
precociously	forwardly
precociously	coming to development in a way earlier than is normal
preconceive	get an idea before experiencing it
preconception	idea got before the event
preconceptions	ideas got before the event
predecessor	the man before
predecessor	person having the position before
predecessors	the men before
predecessors	persons having the position before
predict	say what will take place in the future
predictable	certain to take place
predicted	said what will take place in the future
predicting	saying what will take place in the future
prediction	statement of what will take place in the future
predictions	statements of what will take place in the future
predicts	says what will take place in the future
predispose	having a tendency
predispose	make person ready
predisposed	had a tendency
predisposed	made person ready
predisposes	has a tendency
predisposes	makes person ready
predisposing	having a tendency
predisposing	making person ready
predominant	chief
predominant	most important
predominantly	chiefly
predominantly	most importantly
predominate	have chief power
predominate	have greatest number
predominate	be most important
predominated	had chief power
predominated	had greatest number
predominated	was most important
predominates	has chief power
predominates	has greatest number
predominates	is most important
predominating	having chief power
predominating	having greatest number
predominating	bang most important
preen	put face in order
preen	put feathers in order
preened	put face in order
preened	put feathers in order
preening	putting face in order
preening	putting feathers in order
preens	puts face in order
preens	puts feathers in order
preexistent	existed earlier
preface	be starting
preface	opening part of talk or book
preface	first words
prefecture	division for government
prefer	put (one thing) before (another)
prefer	have a better opinion of
preferable	desired
preferable	rightly to have approval
preferably	rightly to be approved
preference	being given a higher position
preferences	desires
preferment	being given a higher position
preferred	put (one thing) before (another)
preferred	had a better opinion of
preferring	putting (one thing) before (another)
preferring	having a better opinion of
prefers	puts (one thing) before (another)
prefers	has a better opinion of
prefix	put before word
prefix	addition before a word
prefixed	put before
prefixed	make addition before a word
prefixes	put before words
prefixes	additions before a word
prefixing	putting before word
prefixing	making addition before a word
pregnancy	having young in body
pregnancy	condition of about to have a baby
pregnant	very important
pregnant	full of 
pregnant	about to have a baby
prejudice	rights are not changed
prejudice	opinion at start
prejudice	feeling for (or against) a thing
prejudiced	bad opinion at start
prejudiced	had feeling against a thing from start
prejudices	has feeling for (or against) a thing
prejudicial	damaging
prejudicing	having poor opinion at start
prejudicing	causing damage
preliminary	making ready
preliminary	first stage
preliminary	first step
prelude	thing going before
prelude	coming before
prelude	first part
preluded	came before
preludes	comes before
preludes	first parts
preluding	coming before
premature	done before the right time
premature	taking place before ready
premature	early
prematurely	done before the right time
prematurely	taking place before ready
prematurely	early
premeditate	be designing before acting
premeditated	designed before the event
premier	head of government
premier	chief
premier	first
premise	statement on which reasoning is based
premise	starting point
premises	on the place
premises	in the building 
premises	statements on which reasoning is based
premises	starting points
premium	more than normal value
premium	reward
premium	payment 
preoccupation	taken up with something other
preoccupation	troubled mind
preoccupied	taken up
preoccupied	troubled
prepaid	made payment before
preparation	specially made ready
preparations	things made ready
prepare	get (make) ready
prepared	got (made) ready
prepares	gets (makes) ready
preparing	getting (making) ready
prepay	make payment before
prepaying	making payment before
prepays	makes payment before
preponderance	chief power
preponderance	greatest number
preponderance	most important
preponderate	be the greater
preponderate	make up the greater number
preposition	direction word
prepossessing	pleasing at first view
prepossessing	with attraction
prepossessing	having attraction
prepossessing	pleasing
preposterous	against reason
preposterous	not to be taken seriously
preposterously	against reason
preposterously	not to be taken seriously
prerequisite	need as a condition
prerequisite	necessary condition
prerequisite	first need
prerequisites	needs as a condition
prerequisites	necessary conditions
prerequisites	first needs
prerogative	special right
prerogative	right
prerogatives	special rights
prerogatives	rights
prescribe	give medical order
prescribe	give order
prescribe	make suggestion
prescribed	gave medical order
prescribed	gave order
prescribed	made suggestion
prescribes	gives medical order
prescribes	gives order
prescribes	makes suggestion
prescribing	giving medical order
prescribing	giving order
prescribing	making suggestion
prescription	order for medical substance
prescription	medical substance
presence	being present
present	present
presentation	give respect
presentation	thing presented
presented	presented
presenter	presenter
presenters	presenters
presenting	presenting
presently	presently
presents	presents
preservation	process of making safe
preserve	special field
preserve	keep safe (good)
preserve	keep up
preserved	kept safe (good)
preserved	kept up
preserves	fruit jelly
preserves	special fields
preserves	keeps safe (good)
preserves	keeps up
preserving	keeping safe (good)
preside	be in authority
preside	take a meeting
presided	was in authority
presided	took a meeting
presidency	power of the government
president	head of nation
president	chief of nation
president	President
president	head of government
president's	chief's of nation
president's	President's
president's	head's of government
presidents	chiefs of nation
presidents	Presidents
presidents	heads of government
presides	is in authority
presides	takes a meeting
presiding	being in authority
presiding	taking a meeting
press	give a push
press	machine for pushing strongly
press	make frequent requests
press	iron
press	great mass of
press	make strong attack on
press	newspapers generally
press	make frequent offers (of food, money) to 
press	get liquid by crushing (fruit)
press	printing machine
press	go quickly forward
press	be pushing strongly against
pressed	crushed together
pressed	kept working hard
pressed	in needed of (time, money)
pressed	ironed
presses	makes frequent offers, requests
presses	printing machines
presses	irons
pressing	ironing
pressing	going quickly forward
pressing	ironing
pressing	needing attention straight away
pressing	strongly, frequently made
pressing	needing attention
pressing	important
pressure	[science]
pressure	be working hard
pressure	force to do
pressure	weight, force acting on something
pressured	[science]
pressured	troubled
pressured	forced to do
pressured	with weight, force 
pressures	[science]
pressures	troubles
pressures	forces to do
pressures	weights, forces acting on something
pressuring	[science]
pressuring	troubling
pressuring	forcing to do
pressuring	weight, force acting on something
prestige	has respect of others
prestigious	having respect
presumably	from belief, suggestion
presume	make forward behavior
presume	take as true
presume	have a belief
presumed	made forward behavior
presumed	took as true
presumed	had belief
presumes	makes forward behavior
presumes	takes as true
presumes	has belief
presuming	making forward behavior
presuming	taking as true
presuming	having belief
presumption	forward behavior
presumption	suggestion
presumption	belief
presumptuous	forward, taking much upon oneself
presuppose	be a sign of necessary
presuppose	take as true before having certain knowledge
presuppose	be based on
presupposed	was a sign of necessary
presupposed	took as true before having certain knowledge
presupposed	was based on
presupposes	is a sign of necessary
presupposes	takes as true before having certain knowledge
presupposes	is based on
presupposing	being a sign of necessary
presupposing	taking as true before having certain knowledge
presupposing	being based on
presupposition	thing taken as true as base for argument
pretence	make oneself seem falsely
pretence	trick
pretend	put forward as having right
pretend	make oneself seem
pretended	put forward as having right
pretended	made to seem
pretending	putting forward as having right
pretending	making seem
pretends	puts forward as having right
pretends	makes it seem
pretenses	make oneself seem falsely
pretenses	tricks
pretension	act making seem true
pretensions	acts making seem true
pretentious	self-important
pretext	false reason
pretext	trick
pretext	reason given
pretexts	false reasons
pretexts	tricks
pretexts	reasons given
prettier	more beautiful
prettier	more good looking
prettiest	most beautiful
prettiest	most good looking
prettily	very pleasingly
prettily	as good looking
pretty	very
pretty	good looking, beautiful
prevail	get to do what is desired
prevail	overcome
prevail	get control over
prevailed	got to do what is desired
prevailed	overcame
prevailed	got control over
prevailing	getting to do what is desired
prevailing	overcoming
prevailing	getting control over
prevails	gets to do what is desired
prevails	overcomes
prevails	gets control over
prevalent	common
prevalent	generally seen
prevaricate	say what is untrue
prevaricate	make false statement
prevaricates	says what is untrue
prevaricates	makes false statement
prevarication	not completely true 
prevarication	false statement
prevarications	not completely true statements
prevarications	false statements
prevent	put a stop to
prevent	keep from taking place
prevented	put a stop to
prevented	keep from taking place
preventing	putting a stop to
preventing	keeping from taking place
prevention	putting a stop to
prevention	keeping from taking place
prevents	puts a stop to
prevents	keeps from taking place
preview	parts of a motion picture
preview	see before
previewed	saw before
previewer	writer about motion picture
previewer	person seeing before
previewing	seeing before
previews	sees before
previous	earlier, before
previously	as earlier, before
prey	make food of
preyed	made food of
preying	making food of
preys	makes food of
price	price
price's	price's
priced	priced
prices	prices
pricing	pricing
prick	[second]
prick	mark, pain made by a sharp point
prick	sharp pain
pricked	[second]
pricked	made mark, pain by a sharp point
pricked	sharp pain
pricking	[second]
pricking	marking mark, pain with a sharp point
pricking	sharp pain
pricks	[second]
pricks	pain made by a sharp points
pricks	sharp pains
pride	[verse]
pride	feeling of pleasure, approval about something one has a connection with
pride	over-high opinion of (oneself)
pride	self-respect
prided	[verse]
prided	approval about something one has a connection with
prideful	[verse]
prideful	with pleasure
prideful	full of self-respect
pridefully	[verse]
pridefully	as if full of self-respect
priding	[verse]
priding	with over-high opinion of
pried	got open with force
pried	opened
pried	had a look into (a secret)
pries	gets open with force
pries	opens
pries	has a look into (a secret)
priest	[second, verse]
priest	servant of church
priest	man of religion
priesthood	chiefs of church
priestly	[second, verse]
priestly	like servants of church 
priestly	like men of religion
priests	servants of church
priests	men of religion
priests	[second, verse]
prig	person over conscious of his value
prig	narrow-minded
priggish	being over conscious of one's value
prigs	persons over conscious of his value
prim	stiff (in behavior)
primarily	firstly
primarily	chiefly
primary	first
primary	chief
primate	monkey-like animal
primate	monkey
primates	monkey-like animals
primates	monkeys
prime	first in rating
prime	get ready
prime	chief
prime	of the highest quality
prime	number of only itself
primed	made ready
primed	gave first coat of paint
primer	first book
primer	simple guide
primes	makes ready
primes	gives knowledge before event
priming	get working
priming	making ready
priming	giving facts
primitive	low in development
primitive	early
primitive	simple
primitives	early persons
primitives	simple art
primly	stiffly
prince	Prince
prince	son of king
princes	Princes
princes	sons of kings
princess	Princess
princess	daughter of king
princesses	Princesses
princesses	daughters of king
principal	chief, head
principally	as a general rule
principals	chiefs, heads
principle	sense of right
principle	theory
principle	general rule
principled	with a sense of right
principles	sense of right
principles	theories
principles	general rules
print	print
printable	printable
printed	printed
printer	printer
printer's	printer's
printers	printers
printing	printing
printout	printed paper
printouts	printed papers
prints	prints
prior	before
prior	earlier
priorities	things by right coming first
priority	right of coming first
priors	earlier acts (crimes)
prison	prison
prisoned	prisoned
prisoner	prisoner
prisoners	prisoners
prisons	prisons
privacy	right not to be public
private	private
privateer	private armed vessel having right to attack
privateer	man controlling private armed vessel
privateers	private armed vessels having right to attack
privateers	men controlling private armed vessels
privately	privately
privater	privater
privates	privates
privation	time of need
privation	be in need of necessaries
privation	need
privations	times of need
privations	be in need of necessaries
privations	needs
privatisation	process of making private
privatise	make shut, private
privatization	process of making private
privatize	make shut, private
privatized	made shut, private
privatizes	makes shut, private
privatizing	making shut, private
privilege	special right
privileged	special position
privileges	special rights
privileging	giving special rights
prize	ship taken in sea fight
prize	highly valued
prize	reward
prized	given reward
prized	highly valued
prizes	ships taken in sea fights
prizes	highly valued
prizes	rewards
pro	in approval of
pro	supporting
pro	one doing a thing for a living
pro-	in approval of
pro-	supporting
probabilistic	getting how probable
probabilities	how probable
probabilities	chances
probability	how probable
probability	chance
probability	measure of how probable
